"No.","Time","Source","Destination","Protocol","Length","Info"
"34883","170.808625100","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","222","Standard query response 0x19a1 AAAA edge.microsoft.com CNAME edge-microsoft-com.ax-0002.ax-msedge.net CNAME ax-0002.ax-msedge.net AAAA 2620:1ec:33::11 AAAA 2620:1ec:33:1::11"
"34884","170.808625100","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","198","Standard query response 0x0b66 A edge.microsoft.com CNAME edge-microsoft-com.ax-0002.ax-msedge.net CNAME ax-0002.ax-msedge.net A 150.171.27.11 A 150.171.28.11"
"42291","329.082552400","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","95","Standard query 0x15be HTTPS doh.opendns.com"
"42292","329.082891300","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","95","Standard query 0x20b1 AAAA doh.opendns.com"
"42293","329.083184300","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","95","Standard query 0x8ab4 A doh.opendns.com"
"42294","329.096288800","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","123","Standard query response 0x20b1 AAAA doh.opendns.com AAAA 2620:119:fc::2"
"42295","329.098233200","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","111","Standard query response 0x8ab4 A doh.opendns.com A 146.112.41.2"
"42296","329.099697900","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","141","Standard query response 0x15be HTTPS doh.opendns.com SOA auth1.opendns.com"
"43088","404.621882300","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","104","Standard query 0xc594 AAAA ipv6.msftconnecttest.com"
"43090","404.633884600","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","244","Standard query response 0xc594 AAAA ipv6.msftconnecttest.com CNAME ipv6.msftconnecttest.com.edgesuite.net CNAME a1968.i6g1.akamai.net AAAA 2600:140f:f400::1730:e218 AAAA 2600:140f:f400::1730:e210"
"43109","405.064191700","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","95","Standard query 0x9307 HTTPS doh.opendns.com"
"43110","405.064434600","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","95","Standard query 0xe278 AAAA doh.opendns.com"
"43111","405.064623800","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","95","Standard query 0x1d14 A doh.opendns.com"
"43112","405.076635400","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","141","Standard query response 0x9307 HTTPS doh.opendns.com SOA auth1.opendns.com"
"43113","405.076635400","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","123","Standard query response 0xe278 AAAA doh.opendns.com AAAA 2620:119:fc::2"
"43114","405.084375400","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","111","Standard query response 0x1d14 A doh.opendns.com A 146.112.41.2"
"43267","405.533755700","192.168.1.6","192.168.1.1","DNS","83","Standard query 0xa494 A www.msftconnecttest.com"
"43268","405.533928800","192.168.1.6","192.168.1.1","DNS","83","Standard query 0x8f11 AAAA www.msftconnecttest.com"
"43269","405.548732400","192.168.1.1","192.168.1.6","DNS","193","Standard query response 0xa494 A www.msftconnecttest.com CNAME www.msftconnecttest.com.edgesuite.net CNAME a39.d.akamai.net A 23.48.226.18 A 23.48.226.19"
"43270","405.550165900","192.168.1.1","192.168.1.6","DNS","219","Standard query response 0x8f11 AAAA www.msftconnecttest.com CNAME www.msftconnecttest.com.edgesuite.net CNAME a39.d.akamai.net SOA n0d.akamai.net"
"43281","405.595625900","192.168.1.6","192.168.1.1","DNS","84","Standard query 0xde9f A ipv6.msftconnecttest.com"
"43284","405.606128500","192.168.1.1","192.168.1.6","DNS","229","Standard query response 0xde9f A ipv6.msftconnecttest.com CNAME ipv6.msftconnecttest.com.edgesuite.net CNAME a1968.i6g1.akamai.net SOA n0i6g1.akamai.net"
"43561","410.077830800","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","95","Standard query 0x46ae HTTPS doh.opendns.com"
"43562","410.078158200","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","95","Standard query 0x1107 AAAA doh.opendns.com"
"43563","410.078416500","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","95","Standard query 0xd007 A doh.opendns.com"
"43564","410.091213900","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","123","Standard query response 0x1107 AAAA doh.opendns.com AAAA 2620:119:fc::2"
"43565","410.093044500","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","111","Standard query response 0xd007 A doh.opendns.com A 146.112.41.2"
"43566","410.094395200","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","141","Standard query response 0x46ae HTTPS doh.opendns.com SOA auth1.opendns.com"
"44092","496.851486000","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","92","Standard query 0xe96e HTTPS www.bing.com"
